2015.04.02. 22:09:59
AI______	193	16	173	15	0	4969


2015.04.17. 20:51:26
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	193	16	173	15	0	4969


2015.04.17. 22:40:57
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	160	15	0	4954


2015.04.17. 22:41:30
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	189	16	160	15	0	4954


2015.04.17. 23:31:20
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	240	16	169	15	0	4989


2015.04.18. 11:02:49
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	193	16	169	15	0	4965


2015.04.18. 11:14:20
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	334	16	595	15	0	5462
Geri____	58	0	0	4	3	-21


2015.04.18. 11:15:40
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	333	16	595	15	0	5461
Geri____	58	0	0	4	3	-21


2015.04.18. 11:24:20
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	339	16	617	15	0	5486
Geri____	58	0	0	4	4	-171


2015.04.18. 11:28:54
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	370	16	609	15	0	5494
Geri____	58	0	0	4	4	-171


2015.04.18. 11:31:47
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	339	16	617	15	0	5486
Geri____	58	0	0	4	4	-171


2015.04.18. 11:43:12
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	338	16	627	15	0	5496
Geri____	58	0	0	4	4	-171


2015.04.18. 11:47:23
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	339	16	616	15	0	5485
Geri____	58	0	0	4	4	-171


2015.04.18. 11:47:59
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	370	16	610	15	0	5495
Geri____	58	0	0	4	4	-171


2015.04.18. 11:48:29
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	338	16	601	15	0	5470
Geri____	58	0	0	4	4	-171


2015.04.18. 11:49:00
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	339	16	621	15	0	5490
Geri____	58	0	0	4	4	-171


2015.04.18. 12:09:48
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	304	16	637	15	0	5489
Geri____	19	0	0	1	2	-190


2015.04.18. 12:21:00
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	322	16	1022	15	0	5883
Geri____	13	0	0	1	2	-193


2015.04.18. 12:21:38
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	320	16	754	15	0	5614
Geri____	13	0	0	1	2	-193


2015.04.18. 12:22:27
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	454	16	746	24	6	5673
Geri____	221	0	0	16	12	-89


2015.04.18. 12:30:48
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	1169	15	0	6031
Geri____	13	0	0	1	2	-193


2015.04.18. 12:32:47
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	428	15	0	5290
Geri____	13	0	0	1	2	-193


2015.04.18. 12:33:28
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	1021	15	0	5883
Geri____	13	0	0	1	2	-193


2015.04.18. 12:34:11
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	1169	15	0	6031
Geri____	13	0	0	1	2	-193


2015.04.18. 12:34:53
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	756	15	0	5618
Geri____	13	0	0	1	2	-193


2015.04.18. 12:35:47
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	429	15	0	5291
Geri____	13	0	0	1	2	-193


2015.04.18. 12:39:05
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	323	16	757	15	0	5618
Geri____	13	0	0	1	2	-193


2015.04.18. 12:57:49
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	323	16	578	15	0	5439
Geri____	13	0	0	1	2	-193


2015.04.18. 12:59:37
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	328	16	468	15	0	5332
Geri____	13	0	0	1	2	-193


2015.04.18. 13:01:09
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	455	15	0	5317
Geri____	13	0	0	1	2	-193


2015.04.18. 13:02:08
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	455	15	0	5317
Geri____	13	0	0	1	2	-193


2015.04.18. 13:03:05
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	321	16	455	15	0	5315
Geri____	13	0	0	1	2	-193


2015.04.18. 13:18:44
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	324	16	455	15	0	5317
Geri____	13	0	0	1	2	-193


2015.04.18. 13:22:47
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	303	0	0	16	14	-348
Geri____	452	16	791	25	10	5217


2015.04.18. 13:24:40
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	390	0	0	24	21	-555
Geri____	753	16	898	32	12	5874


2015.04.18. 13:26:26
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	205	16	466	17	2	5168
Geri____	120	0	0	7	7	-290


2015.04.18. 13:29:05
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	195	0	0	15	9	247
Geri____	406	16	605	26	10	5108


2015.04.18. 14:11:39
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	218	16	293	15	0	5102


2015.04.18. 14:30:04
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	209	16	350	15	0	5154


2015.04.18. 15:23:38
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	218	16	293	15	0	5102


2015.04.18. 15:24:27
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	229	16	206	15	0	5020


2015.04.18. 15:26:58
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	204	16	117	15	0	4919


2015.04.18. 15:27:28
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	218	16	293	15	0	5102


2015.04.18. 15:48:37
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	233	16	296	15	0	5112


2015.04.18. 15:54:45
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	182	16	233	15	0	5024


2015.04.18. 16:01:50
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	182	16	233	15	0	5024


2015.04.18. 16:06:50
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	308	16	199	15	0	5053


2015.04.18. 16:07:32
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	234	16	189	15	0	5006


2015.04.18. 16:08:10
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.18. 16:08:35
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	250	16	149	15	0	4974


2015.04.18. 16:09:39
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.18. 16:12:55
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	188	16	330	15	0	5124


2015.04.18. 16:13:28
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.18. 16:14:20
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	124	0	0	16	13	-288
Geri____	568	16	565	28	11	5199


2015.04.18. 18:24:42
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	250	16	149	15	0	4974


2015.04.18. 19:41:34
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.19. 14:26:47
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.19. 21:50:32
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.19. 21:50:48
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	261	16	181	15	0	5011


2015.04.19. 21:51:09
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	218	16	293	15	0	5102


2015.04.19. 21:51:25
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	214	16	149	15	0	4956


2015.04.20. 8:24:10
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	243	16	144	15	0	4965


2015.04.20. 9:02:33
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	241	16	164	15	0	4984


2015.04.20. 9:05:55
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	191	16	150	15	0	4945


2015.04.20. 9:06:34
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	271	16	188	15	0	5023


2015.04.20. 9:08:49
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	206	16	162	15	0	4965


2015.04.20. 9:09:07
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	239	16	158	15	0	4977


2015.04.20. 9:10:04
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	194	16	108	15	0	4905


2015.04.20. 9:10:55
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	247	16	157	15	0	4980


2015.04.20. 9:23:39
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	223	16	136	15	0	4947


2015.04.20. 9:33:51
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	175	16	154	15	0	4941


2015.04.20. 9:35:25
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	221	16	142	15	0	4952


2015.04.20. 9:37:29
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	203	16	183	15	0	4984


2015.04.20. 9:40:25
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	194	16	172	15	0	4969


2015.04.20. 10:07:01
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	390	16	1001	18	3	5746
Geri____	212	0	0	13	6	506


2015.04.20. 10:51:58
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	206	16	170	15	0	4973


2015.04.20. 10:54:04
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	219	16	148	15	0	4957


2015.04.20. 10:57:57
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	284	16	161	15	0	5003


2015.04.20. 11:08:05
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	227	16	152	15	0	4965


2015.04.20. 11:20:06
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	257	16	138	15	0	4966


2015.04.20. 11:21:57
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	218	16	162	15	0	4971


2015.04.20. 11:23:13
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	297	16	165	15	0	5013


2015.04.20. 11:26:18
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	245	16	168	15	0	4990


2015.04.20. 11:40:17
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	207	16	171	15	0	4974


2015.04.20. 15:29:17
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	217	16	180	15	0	4988


2015.04.20. 15:31:20
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	230	16	149	15	0	4964


2015.04.20. 15:53:02
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
Geri____	219	16	149	15	0	4958


2015.04.20. 16:37:53
NICK	SHOOTS	ENDPLANETS	ENDUNITS	PLANETSCAPTURED	PLANETSLOST	TOTAL
AI______	423	16	650	16	1	5511
Geri____	87	0	0	4	3	-6


2015.04.20. 16:51:51
